in s,C1 in V
-2.9835029E+01,4.268762E-01
-2.9834572E+01,4.254774E-01
-2.9834114E+01,4.267811E-01
-2.9833656E+01,4.263194E-01
-2.9833198E+01,4.279083E-01
-2.9832741E+01,4.281392E-01
-2.9832283E+01,4.283293E-01
-2.9831825E+01,4.271071E-01
-2.9831367E+01,4.241194E-01
-2.9830909E+01,4.269169E-01
-2.9830452E+01,4.259663E-01
-2.9829994E+01,4.257083E-01
-2.9829536E+01,4.267268E-01
-2.9829078E+01,4.254095E-01
-2.9828621E+01,4.273379E-01
-2.9828163E+01,4.260206E-01
-2.9827705E+01,4.258305E-01
-2.9827247E+01,4.265774E-01
-2.9826790E+01,4.268762E-01
-2.9826332E+01,4.257898E-01
-2.9825874E+01,4.248256E-01
-2.9825416E+01,4.264416E-01
-2.9824959E+01,4.272700E-01
-2.9824501E+01,4.282614E-01
-2.9824043E+01,4.269034E-01
-2.9823585E+01,4.291984E-01
-2.9823127E+01,4.273651E-01
-2.9822670E+01,4.275009E-01
-2.9822212E+01,4.241330E-01
-2.9821754E+01,4.266046E-01
-2.9821296E+01,4.242688E-01
-2.9820839E+01,4.274058E-01
-2.9820381E+01,4.257354E-01
-2.9819923E+01,4.254367E-01
-2.9819465E+01,4.267132E-01
-2.9819008E+01,4.235083E-01
-2.9818550E+01,4.256947E-01
-2.9818092E+01,4.263058E-01
-2.9817634E+01,4.264824E-01
-2.9817176E+01,4.271885E-01
-2.9816719E+01,4.259799E-01
-2.9816261E+01,4.252330E-01
-2.9815803E+01,4.260071E-01
-2.9815345E+01,4.255589E-01
-2.9814888E+01,4.256947E-01
-2.9814430E+01,4.271478E-01
-2.9813972E+01,4.270935E-01
-2.9813514E+01,4.272429E-01
-2.9813057E+01,4.235219E-01
-2.9812599E+01,4.251787E-01
-2.9812141E+01,4.270392E-01
-2.9811683E+01,4.258033E-01
-2.9811225E+01,4.269441E-01
-2.9810768E+01,4.275009E-01
-2.9810310E+01,4.259799E-01
-2.9809852E+01,4.257219E-01
-2.9809394E+01,4.238070E-01
-2.9808937E+01,4.255589E-01
-2.9808479E+01,4.274330E-01
