in s,C1 in V,C3 in V,C4 in V
-1.1954232E+02,7.505496E-01,1.1215210E-01,1.4308929E+00
-1.1954049E+02,7.505360E-01,-7.9193115E-02,1.4362335E+00
-1.1953866E+02,7.505903E-01,-4.0435791E-02,1.4316559E+00
-1.1953683E+02,7.504545E-01,-1.3732910E-03,1.4308929E+00
-1.1953500E+02,7.503323E-01,-8.0871582E-03,1.4293671E+00
-1.1953317E+02,7.504274E-01,-6.7596436E-02,1.4331818E+00
-1.1953134E+02,7.505224E-01,-1.8569946E-01,1.4316559E+00
-1.1952950E+02,7.504681E-01,-2.4856567E-01,1.4308929E+00
-1.1952767E+02,7.504817E-01,-8.9874268E-02,1.4308929E+00
-1.1952584E+02,7.504545E-01,2.1820068E-02,1.4278412E+00
-1.1952401E+02,7.503730E-01,-3.5247803E-02,1.4301300E+00
-1.1952218E+02,7.503595E-01,-1.4358521E-01,1.4354706E+00
-1.1952035E+02,7.501965E-01,-1.7166138E-01,1.4293671E+00
-1.1951852E+02,7.501286E-01,-1.7013550E-01,1.4339447E+00
-1.1951669E+02,7.501014E-01,-3.3111572E-02,1.4385223E+00
-1.1951486E+02,7.500879E-01,-4.7760010E-02,1.4400482E+00
-1.1951303E+02,7.499656E-01,-1.5457153E-01,1.4423370E+00
-1.1951119E+02,7.500064E-01,-1.6677856E-01,1.4362335E+00
-1.1950936E+02,7.500879E-01,-1.5426636E-01,1.4392853E+00
-1.1950753E+02,7.501014E-01,-1.3565063E-01,1.4408112E+00
-1.1950570E+02,7.501014E-01,-1.8386841E-01,1.4392853E+00
-1.1950387E+02,7.501286E-01,-2.4551392E-01,1.4362335E+00
-1.1950204E+02,7.501150E-01,-3.2424927E-01,1.4408112E+00
-1.1950021E+02,7.499656E-01,-2.8213501E-01,1.4400482E+00
-1.1949838E+02,7.500200E-01,-2.2140503E-01,1.4400482E+00
-1.1949655E+02,7.500607E-01,-2.3391724E-01,1.4385223E+00
-1.1949471E+02,7.498842E-01,-1.2619019E-01,1.4415741E+00
-1.1949288E+02,7.498706E-01,-2.2323608E-01,1.4362335E+00
-1.1949105E+02,7.500335E-01,-3.1692505E-01,1.4400482E+00
-1.1948922E+02,7.499385E-01,-3.2821655E-01,1.4423370E+00
-1.1948739E+02,7.499792E-01,-2.4093628E-01,1.4431000E+00
-1.1948556E+02,7.500335E-01,-1.4480591E-01,1.4499664E+00
-1.1948373E+02,7.499521E-01,-9.2620850E-02,1.4476776E+00
-1.1948190E+02,7.498298E-01,-1.0971069E-01,1.4469147E+00
-1.1948007E+02,7.498163E-01,-2.6504517E-01,1.4507294E+00
-1.1947824E+02,7.497484E-01,-3.4805298E-01,1.4446259E+00
-1.1947640E+02,7.498027E-01,-2.0370483E-01,1.4423370E+00
-1.1947457E+02,7.496805E-01,-2.5772095E-01,1.4431000E+00
-1.1947274E+02,7.495854E-01,-2.8671265E-01,1.4431000E+00
-1.1947091E+02,7.496533E-01,-2.0980835E-01,1.4400482E+00
-1.1946908E+02,7.497212E-01,-1.3412476E-01,1.4377594E+00
-1.1946725E+02,7.496533E-01,-4.8980713E-02,1.4377594E+00
-1.1946542E+02,7.497484E-01,-8.0413818E-02,1.4453888E+00
-1.1946359E+02,7.497348E-01,-1.9821167E-01,1.4400482E+00
-1.1946176E+02,7.495854E-01,-1.6372681E-01,1.4400482E+00
-1.1945992E+02,7.494903E-01,-1.1978149E-01,1.4400482E+00
-1.1945809E+02,7.493681E-01,-1.7715454E-01,1.4476776E+00
-1.1945626E+02,7.493002E-01,-1.5151978E-01,1.4446259E+00
-1.1945443E+02,7.492595E-01,-1.6494751E-01,1.4476776E+00
-1.1945260E+02,7.493274E-01,-1.3046265E-01,1.4423370E+00
-1.1945077E+02,7.494224E-01,-1.5411377E-02,1.4438629E+00
-1.1944894E+02,7.494360E-01,2.6397705E-02,1.4431000E+00
-1.1944711E+02,7.493409E-01,-4.0740967E-02,1.4469147E+00
-1.1944528E+02,7.494224E-01,-6.9732666E-02,1.4476776E+00
-1.1944344E+02,7.493953E-01,-9.8724365E-02,1.4476776E+00
-1.1944161E+02,7.492595E-01,-8.1024170E-02,1.4469147E+00
-1.1943978E+02,7.491508E-01,-1.4694214E-01,1.4514923E+00
-1.1943795E+02,7.492051E-01,-1.4541626E-01,1.4560699E+00
-1.1943612E+02,7.491101E-01,9.0026855E-03,1.4537811E+00
-1.1943429E+02,7.489607E-01,7.3699951E-02,1.4507294E+00
-1.1943246E+02,7.490286E-01,-4.4250488E-03,1.4530182E+00
-1.1943063E+02,7.490693E-01,-6.4849854E-02,1.4499664E+00
-1.1942880E+02,7.492051E-01,1.0223389E-02,1.4461517E+00
-1.1942697E+02,7.491372E-01,-1.6632080E-02,1.4492035E+00
-1.1942513E+02,7.491780E-01,-1.6326904E-02,1.4499664E+00
-1.1942330E+02,7.491101E-01,1.5716553E-02,1.4507294E+00
-1.1942147E+02,7.490693E-01,1.7242432E-02,1.4415741E+00
-1.1941964E+02,7.488656E-01,1.0330200E-01,1.4438629E+00
-1.1941781E+02,7.489471E-01,1.8325806E-01,1.4446259E+00
-1.1941598E+02,7.488792E-01,1.5731812E-01,1.4446259E+00
-1.1941415E+02,7.486619E-01,-1.3275146E-02,1.4492035E+00
-1.1941232E+02,7.487434E-01,5.0811768E-02,1.4499664E+00
-1.1941049E+02,7.489743E-01,1.2130737E-01,1.4453888E+00
-1.1940865E+02,7.489064E-01,2.2232056E-01,1.4499664E+00
-1.1940682E+02,7.489064E-01,2.6901245E-01,1.4530182E+00
-1.1940499E+02,7.489471E-01,7.6141357E-02,1.4446259E+00
-1.1940316E+02,7.488792E-01,1.0147095E-01,1.4545441E+00
-1.1940133E+02,7.488249E-01,1.8234253E-01,1.4537811E+00
-1.1939950E+02,7.486076E-01,1.7227173E-01,1.4530182E+00
-1.1939767E+02,7.485804E-01,8.7432861E-02,1.4530182E+00
-1.1939584E+02,7.484854E-01,4.7454834E-02,1.4499664E+00
-1.1939401E+02,7.483767E-01,1.6494751E-01,1.4476776E+00
-1.1939218E+02,7.483767E-01,2.1591187E-01,1.4499664E+00
-1.1939034E+02,7.485940E-01,2.1896362E-01,1.4522552E+00
-1.1938851E+02,7.485669E-01,1.5396118E-01,1.4530182E+00
-1.1938668E+02,7.484039E-01,1.2557983E-01,1.4553070E+00
-1.1938485E+02,7.485125E-01,1.2954712E-01,1.4545441E+00
-1.1938302E+02,7.484990E-01,4.9896240E-02,1.4545441E+00
-1.1938119E+02,7.483767E-01,1.6021729E-02,1.4575958E+00
-1.1937936E+02,7.483767E-01,5.4168701E-02,1.4537811E+00
-1.1937753E+02,7.483224E-01,2.2750854E-01,1.4553070E+00
-1.1937570E+02,7.482545E-01,2.4368286E-01,1.4560699E+00
-1.1937386E+02,7.481459E-01,1.4389038E-01,1.4537811E+00
-1.1937203E+02,7.481459E-01,6.4239502E-02,1.4537811E+00
-1.1937020E+02,7.482545E-01,9.9029541E-02,1.4514923E+00
-1.1936837E+02,7.482409E-01,2.3178101E-01,1.4553070E+00
-1.1936654E+02,7.481323E-01,2.6199341E-01,1.4568329E+00
-1.1936471E+02,7.481595E-01,1.0025024E-01,1.4560699E+00
-1.1936288E+02,7.481051E-01,-1.5106201E-02,1.4545441E+00
-1.1936105E+02,7.480644E-01,-5.1422119E-02,1.4537811E+00
-1.1935922E+02,7.479965E-01,1.2344360E-01,1.4560699E+00
-1.1935739E+02,7.480508E-01,2.8091431E-01,1.4492035E+00
-1.1935555E+02,7.478878E-01,1.6098022E-01,1.4537811E+00
-1.1935372E+02,7.477792E-01,1.2619019E-01,1.4530182E+00
-1.1935189E+02,7.476977E-01,2.9678345E-01,1.4568329E+00
-1.1935006E+02,7.479965E-01,1.3565063E-01,1.4583588E+00
-1.1934823E+02,7.479693E-01,7.4005127E-02,1.4575958E+00
-1.1934640E+02,7.480508E-01,1.5365601E-01,1.4522552E+00
-1.1934457E+02,7.478743E-01,1.9058228E-01,1.4499664E+00
-1.1934274E+02,7.478199E-01,1.6860962E-01,1.4469147E+00
-1.1934091E+02,7.478064E-01,8.4075928E-02,1.4484406E+00
-1.1933907E+02,7.477656E-01,4.9285889E-02,1.4484406E+00
-1.1933724E+02,7.476841E-01,9.5062256E-02,1.4507294E+00
-1.1933541E+02,7.476706E-01,1.9882202E-01,1.4507294E+00
-1.1933358E+02,7.476841E-01,1.2496948E-01,1.4530182E+00
-1.1933175E+02,7.477792E-01,-2.3651123E-02,1.4545441E+00
-1.1932992E+02,7.477928E-01,-1.0299683E-01,1.4461517E+00
-1.1932809E+02,7.477792E-01,2.7618408E-02,1.4476776E+00
-1.1932626E+02,7.475891E-01,7.1563721E-02,1.4530182E+00
-1.1932443E+02,7.476570E-01,-3.0364990E-02,1.4553070E+00
-1.1932260E+02,7.476977E-01,-1.7379761E-01,1.4484406E+00
-1.1932076E+02,7.475348E-01,-2.0339966E-01,1.4438629E+00
-1.1931893E+02,7.475483E-01,-3.8909912E-02,1.4499664E+00
-1.1931710E+02,7.474533E-01,2.6397705E-02,1.4522552E+00
-1.1931527E+02,7.473039E-01,9.3078613E-03,1.4583588E+00
-1.1931344E+02,7.472767E-01,-8.6822510E-02,1.4614105E+00
-1.1931161E+02,7.472903E-01,-2.1774292E-01,1.4606476E+00
-1.1930978E+02,7.473990E-01,-2.6321411E-01,1.4530182E+00
-1.1930795E+02,7.473582E-01,-2.5588989E-01,1.4492035E+00
-1.1930612E+02,7.472360E-01,-2.8549194E-01,1.4484406E+00
-1.1930428E+02,7.473582E-01,-2.5650024E-01,1.4461517E+00
